Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-June-2023,3701.15,3709.00,3664.05,3670.10,3687.294258087620866658,8377,1600,30888464.00,3664,43.74,44.95,-31.05
2-June-2023,3729.95,3746.25,3660.00,3699.60,3693.520520741394527802,13596,2104,50217105.00,2702,19.87,86.25,-30.35
1-June-2023,3689.45,3732.00,3686.35,3715.10,3715.472535520726527025,13654,2375,50731062.00,8167,59.81,45.65,25.65
31-May-2023,3675.00,3726.20,3655.15,3685.30,3700.560304194557769239,25247,4865,93428046.00,15260,60.44,71.05,10.30
30-May-2023,3700.05,3722.60,3670.05,3677.40,3698.771168041684759009,9212,1913,34073080.00,4532,49.20,52.55,-22.65
29-May-2023,3692.05,3717.25,3670.05,3712.30,3696.663881572972482063,22022,3833,81407932.00,14209,64.52,47.20,20.25
26-May-2023,3626.10,3696.95,3610.00,3690.50,3667.250502594791715367,21389,3524,78438821.00,12266,57.35,86.95,64.40
25-May-2023,3550.80,3682.65,3550.80,3653.25,3646.249239328870729374,11503,1738,41942805.00,3404,29.59,131.85,102.45
24-May-2023,3593.55,3623.05,3581.50,3610.50,3610.084743132081328573,6443,991,23259776.00,1675,26.00,41.55,16.95
23-May-2023,3526.05,3606.20,3526.05,3601.30,3592.494010169783676635,34809,1007,125051124.00,30809,88.51,80.15,75.25
22-May-2023,3591.20,3591.20,3526.80,3544.10,3546.783098591549295774,8520,1669,30218592.00,4705,55.22,64.40,-47.10
19-May-2023,3575.50,3578.35,3511.90,3571.50,3551.238111766747657063,8643,1262,30693351.00,2245,25.97,66.45,-4.00
18-May-2023,3649.95,3650.00,3570.00,3575.50,3601.376993999707302795,6833,930,24608209.00,2039,29.84,80.00,-74.45
17-May-2023,3610.25,3636.35,3583.40,3628.00,3611.605688117618703302,12447,1778,44953656.00,4575,36.76,52.95,17.75
16-May-2023,3648.40,3683.00,3608.55,3630.85,3658.058986881164416355,10443,1597,38201110.00,2414,23.12,74.45,-17.55
15-May-2023,3630.60,3704.95,3630.60,3658.35,3679.539451169275619494,47337,7174,174178359.00,21369,45.14,74.35,27.75
12-May-2023,3494.00,3647.20,3494.00,3630.60,3614.710786760442663036,198345,21788,716959811.00,106303,53.59,153.20,136.60
11-May-2023,3417.00,3419.30,3389.05,3407.05,3402.188514610389610389,4928,947,16765985.00,1687,34.23,30.25,-9.95
10-May-2023,3400.00,3423.00,3355.00,3415.50,3388.064773495605138607,7395,1495,25054739.00,2310,31.24,68.00,15.50
9-May-2023,3400.00,3408.55,3371.95,3380.65,3384.778714182518661208,4153,891,14056986.00,1157,27.86,36.60,-19.35
